name,Longitude,Latitude,Cluster
Poland,19.39012835,52.12759564,2
Puerto Rico,-66.47307604,18.22813055,1
Dem. Rep. Korea,127.1924797,40.15350311,2
Portugal,-8.50104361,39.59550671,2
Paraguay,-58.40013703,-23.22823913,1
Palestine,35.19628705,31.91613893,2
Fr. Polynesia,-144.9049439,-14.72227409,1
Qatar,51.18479632,25.30601188,2
Romania,24.97293039,45.85243127,2
Russia,96.68656112,61.98052209,2
Rwanda,29.91988515,-1.99033832,0
W. Sahara,-12.21982755,24.22956739,2
Saudi Arabia,44.53686271,24.12245841,2
Sudan,29.94046812,15.99035669,0
S. Sudan,30.24790002,7.30877945,0
Senegal,-14.4734924,14.36624173,1
Singapore,103.8172559,1.35876087,0
S. Geo. and S. Sandw. Is.,-36.43318388,-54.46488248,1
Saint Helena,-9.54779416,-12.40355951,1
Solomon Is.,159.6328767,-8.92178022,0
Sierra Leone,-11.79271247,8.56329593,1
El Salvador,-88.87164469,13.73943744,1
San Marino,12.45922334,43.94186747,2
Somaliland,46.25198395,9.73345496,0
Somalia,45.70714487,4.75062876,0
St. Pierre and Miquelon,-56.30319779,46.91918789,2
Serbia,20.78958334,44.2215032,2
Ṣo Tom̩ and Principe,6.72429658,0.44391445,1
Suriname,-55.9123457,4.13055413,1
Slovakia,19.47905218,48.70547528,2
Slovenia,14.80444238,46.11554772,2
Sweden,16.74558049,62.77966519,2
Swaziland,31.4819369,-26.55843045,0
Sint Maarten,-63.05713363,18.05081728,1
Seychelles,55.47603279,-4.66099094,0
Syria,38.50788204,35.02547389,2
Turks and Caicos Is.,-71.97387881,21.83047572,1
Chad,18.64492513,15.33333758,2
Togo,0.96232845,8.52531356,1
Thailand,101.0028813,15.11815794,0
Tajikistan,71.01362631,38.5304539,2
Turkmenistan,59.37100021,39.11554137,2
Timor-Leste,125.8443898,-8.82889162,0
Tonga,-174.8098734,-20.42843174,1
Trinidad and Tobago,-61.26567923,10.45733408,1
Tunisia,9.55288359,34.11956246,2
Turkey,35.16895346,39.0616029,2
Taiwan,120.9542728,23.7539928,0
Tanzania,34.81309981,-6.27565408,0
Uganda,32.36907971,1.27469299,0
Ukraine,31.38326469,48.99656673,2
Uruguay,-56.01807053,-32.79951534,1
United States,-112.4616737,45.6795472,1
Uzbekistan,63.14001528,41.75554225,2
Vatican,12.43387177,41.90174985,2
St. Vin. and Gren.,-61.20129695,13.22472269,1
Venezuela,-66.18184123,7.12422421,1
British Virgin Is.,-64.47146992,18.52585755,1
U.S. Virgin Is.,-64.80301538,17.95500624,1
Vietnam,106.299147,16.6460167,0
Vanuatu,167.6864464,-16.22640909,0
Wallis and Futuna Is.,-177.3483483,-13.88737039,1
Samoa,-172.1648506,-13.75324346,1
Yemen,47.58676189,15.90928005,0
South Africa,25.08390093,-29.00034095,0
Zambia,27.77475946,-13.45824152,0
Zimbabwe,29.8514412,-19.00420419,0
